path_index,interaction_chain,a_real,a_imag,a_abs,phase_deg,path_gain_db,delay_us,path_length_m,excess_delay_us,aod_theta_deg,aod_phi_deg,aoa_theta_deg,aoa_phi_deg,doppler_hz
48,PHAN_XA_KHUECH_TAN -> PHAN_XA_KHUECH_TAN,8.948096592575894e-07,0.0,8.948096592575894e-07,0.0,-120.96538672888795,0.39433200527128065,118.21776112834618,0.06076791692066763,50.23188859042842,-80.47384887660218,91.11285888632669,-173.61198862543188,0.0
49,NHIEU_XA -> PHAN_XA_GUONG,-2.463470536895329e-06,-6.414489917005994e-08,2.4643055115469953e-06,-178.50844502487334,-112.16610903279775,0.40161017977879965,120.39970295370824,0.06804609142818663,84.197060125257,-33.40031489046852,99.42629193649941,-147.34510281355716,0.0
50,PHAN_XA_GUONG -> PHAN_XA_GUONG -> NHIEU_XA,-7.731153459644702e-07,1.2378878011531924e-07,7.8296296224547e-07,170.90319629533184,-122.12517563171119,0.835274761357141,250.4090738126207,0.5017106730065279,89.99998201391065,-80.93207260764,89.99998884409983,-155.72954251034133,0.0
51,PHAN_XA_KHUECH_TAN,2.823573595378548e-06,0.0,2.823573595378548e-06,0.0,-110.98401776116111,0.3557956347322033,106.6648478820374,0.022231546381590306,86.51122383870569,-15.412180135708494,84.3410336827717,-154.39842060337588,0.0
52,PHAN_XA_KHUECH_TAN,9.65692606769153e-07,0.0,9.65692606769153e-07,0.0,-120.30322186980587,0.3894532198955858,116.75513806851217,0.05588913154497277,95.49476674834837,-72.57069845968294,91.19299749585845,-168.05606686773336,0.0
53,PHAN_XA_KHUECH_TAN,8.262785513579729e-07,0.0,8.262785513579729e-07,0.0,-121.65747041135486,0.41140560824715067,123.33629853139837,0.07784151989653765,95.85752492535691,-95.55983113038191,91.10207401762723,-169.21799132857927,0.0
54,PHAN_XA_KHUECH_TAN,7.051490342746547e-07,0.0,7.051490342746547e-07,0.0,-123.0343816907315,0.4464108656065946,133.83061067810866,0.11284677725598158,95.94969832820624,-135.68408476813445,90.9976472554069,-173.27683124285934,0.0
55,NHIEU_XA -> PHAN_XA_GUONG,9.440715984965209e-06,-2.552458454374573e-06,9.779681102678442e-06,-15.129174348047483,-100.1935061304342,0.4098429258192482,122.86781812526408,0.07627883746863517,91.86559354418628,-50.90562528034764,91.86546377059204,-155.72940590655793,0.0
56,KHUC_XA_TRUYEN_XUYEN -> PHAN_XA_GUONG -> NHIEU_XA,-4.2468920469218574e-07,-8.732960168345016e-07,9.710853997466377e-07,-115.93393876490664,-120.25485150878454,0.5944536383140075,178.2127173971993,0.26088954996339453,89.99997518372149,-93.3070298364366,89.999995674289,-162.39347121557762,0.0
57,PHAN_XA_KHUECH_TAN,1.2083088449799106e-06,0.0,1.2083088449799106e-06,0.0,-118.35644090821765,0.3453813519627147,103.54272445226536,0.01181726361210167,96.2320515183054,-33.56450922302105,91.25517270787307,-173.61999360713912,0.0
58,PHAN_XA_GUONG -> NHIEU_XA,7.654276323876275e-09,-9.072471129911719e-07,9.072794012744137e-07,-89.51661755958413,-120.845178983257,0.47518895485154644,142.45806478939613,0.14162486650093342,90.00000933466734,173.47007095485733,90.00000933466734,-9.937694723484064,0.0
59,PHAN_XA_KHUECH_TAN,8.714320642866369e-07,0.0,8.714320642866369e-07,0.0,-121.195329285376,0.3761314815164951,112.76138137501164,0.042567393165882095,96.52032648241494,-68.952699445003,91.2020270059412,-170.11476784584525,0.0
60,PHAN_XA_KHUECH_TAN,7.896478564362042e-07,0.0,7.896478564362042e-07,0.0,-122.0513307843683,0.3959818855037156,118.71238277863347,0.06241779715310258,96.56646441025839,-89.01481601859552,91.12957918941487,-170.1160109402742,0.0
61,PHAN_XA_KHUECH_TAN,2.4761143322393764e-06,0.0,2.4761143322393764e-06,0.0,-112.12458612103283,0.5006864398637845,150.10201849403313,0.16712235151317145,52.49862688537513,-90.37295815391754,76.50328232715535,-161.7760357749868,0.0
62,PHAN_XA_KHUECH_TAN,7.399852961498254e-07,0.0,7.399852961498254e-07,0.0,-122.6155381963112,0.3835369568605529,114.98148703106511,0.04997286850993987,97.27641476315702,-82.46980090680916,91.15282232316044,-170.9913543239247,0.0
63,NHIEU_XA -> KHUC_XA_TRUYEN_XUYEN -> KHUC_XA_TRUYEN_XUYEN,6.8844301495119e-06,-1.4146064131637104e-05,1.5732339587610552e-05,-64.04931703544274,-96.0641337555005,0.3983684564445866,119.42785874718857,0.06480436809397361,89.99996835353231,174.43034091064777,90.00000250447816,179.5064828602879,0.0
64,PHAN_XA_KHUECH_TAN,6.07498805038631e-07,0.0,6.07498805038631e-07,0.0,-124.32909143988154,0.39979030930226145,119.85411951030522,0.06622622095164843,97.9585662461337,-108.38594284442537,91.08448628051445,-172.59907157151898,0.0
65,PHAN_XA_GUONG -> NHIEU_XA,2.5704973722895375e-06,-2.1158743948035408e-06,3.329321431693351e-06,-39.45909838380806,-109.55288547102215,0.5042094812779396,151.1581997392185,0.1706453929273266,90.00000933466734,50.95095724586902,89.99998201391065,-140.31376457248751,0.0
66,PHAN_XA_KHUECH_TAN,6.678891395495157e-07,0.0,6.678891395495157e-07,0.0,-123.50591236957534,0.36855038842986687,110.48862684424455,0.03498630007925385,98.18426984725677,-71.1887394547251,91.18583945760827,-172.15336074704064,0.0
67,NHIEU_XA -> KHUC_XA_TRUYEN_XUYEN,5.590972023128415e-07,2.081646243823343e-06,2.1554212502566357e-06,74.96606163318276,-113.32935679513722,0.39931131823323085,119.7105216003605,0.06574722988261783,90.00000933466734,20.698731185372733,90.0000161648565,127.67525083418764,0.0
68,PHAN_XA_KHUECH_TAN,6.156315635053033e-07,0.0,6.156315635053033e-07,0.0,-124.2135824387743,0.38440020944108255,115.24028364405694,0.05083612109046953,98.23057852982946,-91.25085602831763,91.12903277428127,-172.15301923758213,0.0
69,PHAN_XA_KHUECH_TAN,9.866754453469184e-07,0.0,9.866754453469184e-07,0.0,-120.11651359249628,0.3490327173949481,104.63737627025085,0.015468629044335103,98.33480721656386,-46.390624352159094,91.17994500435455,-174.14586353171674,0.0
70,NHIEU_XA -> PHAN_XA_GUONG -> PHAN_XA_GUONG,1.1315873962303158e-06,1.898759137475281e-06,2.2103792202817097e-06,59.206684446510195,-113.11066421727253,0.6062044803911704,181.73553122708176,0.27264039204055734,90.0000161648565,103.28788964792786,89.99998884409983,-136.19561129545505,0.0
71,PHAN_XA_KHUECH_TAN,5.363924060475256e-07,0.0,5.363924060475256e-07,0.0,-125.4103475856482,0.3986787646681478,119.52088681226758,0.06511467631753476,98.59548821642656,-114.23997503863824,91.07697990261661,-173.47191510593325,0.0
72,PHAN_XA_GUONG -> PHAN_XA_GUONG -> PHAN_XA_GUONG,-4.327225178712979e-05,-3.1852920074015856e-05,5.373170657973185e-05,-143.64303038149416,-85.39538731057277,0.5978175181553524,179.22118320325274,0.2642534298047394,90.0000161648565,123.78288995073744,89.99998884409983,-131.78232554438634,0.0
